filename,J0_count,J1_count,J2_count,J1/J2,TCRBJ01-01,TCRBJ01-02,TCRBJ01-03,TCRBJ01-04,TCRBJ01-05,TCRBJ01-06,TCRBJ02-01,TCRBJ02-02,TCRBJ02-03,TCRBJ02-04,TCRBJ02-05,TCRBJ02-06,TCRBJ02-07,TCRBJ-other,TCRBJ01-01/j1j2,TCRBJ01-02/j1j2,TCRBJ01-03/j1j2,TCRBJ01-04/j1j2,TCRBJ01-05/j1j2,TCRBJ01-06/j1j2,TCRBJ02-01/j1j2,TCRBJ02-02/j1j2,TCRBJ02-03/j1j2,TCRBJ02-04/j1j2,TCRBJ02-05/j1j2,TCRBJ02-06/j1j2,TCRBJ02-07/j1j2,TCRBJ-other/j1j2,TCRBJ01-01/j1,TCRBJ01-02/j1,TCRBJ01-03/j1,TCRBJ01-04/j1,TCRBJ01-05/j1,TCRBJ01-06/j1,TCRBJ02-01/j2,TCRBJ02-02/j2,TCRBJ02-03/j2,TCRBJ02-04/j2,TCRBJ02-05/j2,TCRBJ02-06/j2,TCRBJ02-07/j2
ImmuneCODE-Review-002/BS-HS-48_TCRB.tsv,0,48829,74561,0.6548866029157334,13743,13589,4224,4477,7886,4910,16992,8263,13687,2205,11431,2059,19853,71,0.11137855579868709,0.11013048058999919,0.03423292000972526,0.0362833292811411,0.0639111759461869,0.039792527757516814,0.13770970094821297,0.06696652889213064,0.11092471026825512,0.01787016776075857,0.09264121889942459,0.016686927627846664,0.16089634492260313,0.0005754112975119539,0.28145159638739276,0.27829773290462634,0.08650596981302094,0.09168731696328002,0.16150238587724508,0.10055499805443487,0.22789393919072973,0.11082201150735639,0.1835678169552447,0.02957310121913601,0.1533107120344416,0.027614972975147867,0.2662652056705248
ImmuneCODE-Review-002/860011254_TCRB.tsv,0,200793,186996,1.0737823268946929,59674,49415,16349,19489,37091,18775,41868,21783,29268,4749,24058,4842,60277,151,0.1538826526796789,0.12742754436046408,0.04215952489627091,0.05025671176851329,0.09564737524787964,0.04841550430775499,0.10796592992581017,0.05617229988473113,0.07547403355948724,0.01224635046378314,0.0620388922842061,0.012486171603629808,0.15543762200578148,0.00038938701200910805,0.29719163516656455,0.24609921660615658,0.08142216113111513,0.09706015647955855,0.184722574990164,0.09350425562644116,0.22389783738689598,0.11648912276198421,0.15651671693512162,0.0253962651607521,0.12865515839911015,0.025893602002181864,0.32234379345012726
ImmuneCODE-Review-002/KH20-09720_TCRB.tsv,0,44551,52111,0.8549250638061062,11018,11543,4103,4516,8093,5278,14973,7165,8653,1389,7260,1235,11382,54,0.11398481305994082,0.11941610974322898,0.04244687674577394,0.04671949680329395,0.08372473153876395,0.05460263598932362,0.15490058140737828,0.07412426806811363,0.08951811466760465,0.0143696592249281,0.0751070741346134,0.012776478864496907,0.11775051209368728,0.0005586476588524963,0.2473120693138201,0.2590963165809971,0.09209669816614666,0.10136697268299252,0.18165697739669143,0.1184709658593522,0.2873289708506841,0.1374949626758266,0.16604939456160886,0.02665464105467176,0.1393179942814377,0.02369941087294429,0.21841837615858456
ImmuneCODE-Review-002/KH20-11659_TCRB.tsv,0,96077,73177,1.3129398581521516,28249,28515,7398,9038,13935,8942,15249,8905,13580,1848,12161,2062,19312,60,0.1669029978612027,0.16847460030486724,0.04370945442943741,0.053399033405414346,0.08233187989648694,0.052831838538527895,0.09009535963699529,0.05261323218358207,0.08023444054497973,0.010918501187564253,0.07185059141881432,0.012182873078331975,0.1141007007219918,0.00035449679180403417,0.29402458444789076,0.29679319712314084,0.0770007389906013,0.09407038104853399,0.1450399159007879,0.09307118248904525,0.20838514833895896,0.12169124178362054,0.18557743553302267,0.02525383658799896,0.16618609672438062,0.028178252729682825,0.2639080585429848
ImmuneCODE-Review-002/BS-HS-47_TCRB.tsv,0,32395,49989,0.6480425693652604,8091,7925,2742,3371,6487,3779,10802,6246,8846,1560,6726,1336,14434,39,0.09821081763449213,0.09619586327442221,0.03328316177898621,0.04091813944455234,0.07874101767333463,0.045870557389784426,0.13111769275587493,0.07581569236744999,0.107375218489027,0.018935715672946205,0.08164206642066421,0.016216741114779568,0.1752039230918625,0.00047339289182365507,0.24976076555023924,0.24463651798116992,0.08464269177342182,0.10405926840561815,0.20024695169007564,0.11665380459947523,0.2160875392586369,0.12494748844745844,0.17695893096481227,0.03120686551041229,0.1345496009122007,0.026725879693532576,0.28874352357518657
ImmuneCODE-Review-002/1445BW_TCRB.tsv,0,247002,328886,0.7510261914462762,68813,62416,19367,24829,46562,25015,75022,38100,54191,8140,48646,8718,95737,332,0.11949024810379796,0.10838218542494374,0.03362980301725336,0.04311428611118829,0.0808525268802267,0.04343726557941822,0.1302718584169144,0.06615869752451865,0.09409989442391577,0.014134692856944405,0.08447128608340511,0.015138360236712695,0.1662423943544578,0.0005765009863028922,0.27859288588756365,0.252694310167529,0.07840827199779758,0.10052145326758488,0.18850859507210468,0.10127448360742018,0.22810943609639814,0.11584561215740409,0.1647713797486059,0.024750217400558248,0.14791143435719367,0.026507665270032777,0.2910947866433962
ImmuneCODE-Review-002/INCOV031-BL-3_TCRB.tsv,0,35523,46239,0.7682475832089795,8875,8806,3329,3825,6586,4102,9925,5423,7829,1231,7264,1080,13444,43,0.1085467576624838,0.1077028448423473,0.0407157359164404,0.046782123724957804,0.08055086715099924,0.050170005626085465,0.12138890927325653,0.06632665541449573,0.09575352853403782,0.015055893936058315,0.08884322790538392,0.01320907022822338,0.1644284631002177,0.0005259166850125975,0.24983813304056526,0.24789572952734848,0.09371393181882161,0.1076767164935394,0.18540100779776483,0.11547448132196042,0.2146456454508099,0.11728194813901685,0.16931594541404443,0.026622548065485845,0.15709682302817968,0.023356906507493676,0.2907502324877268
ImmuneCODE-Review-002/KHBR20-00174_TCRB.tsv,0,238860,186574,1.2802426919077685,70069,64380,19461,21944,38822,24184,40732,23501,33940,4550,27445,5273,50990,143,0.16470004748092537,0.1513278205315043,0.0457438756657907,0.05158026861980942,0.09125269724563623,0.05684548014498136,0.09574223028718908,0.055240060737975806,0.07977735676979272,0.010694960910505508,0.06451059388765355,0.01239440195188913,0.11985407842344524,0.0003361273429016017,0.2933475676128276,0.2695302687766893,0.0814745038934941,0.09186971447709956,0.1625303525077451,0.10124759273214436,0.21831552091931353,0.1259607447983106,0.1819117347540386,0.024387106456419436,0.14709981026295196,0.02826224447136257,0.27329638642040155
ImmuneCODE-Review-002/BS-EQ-0014-T2-replacement_TCRB.tsv,0,97593,136415,0.7154125279478063,27541,23548,8763,10147,17274,10320,37481,18361,26053,4022,20511,4117,25724,146,0.11769255751940104,0.10062903832347612,0.0374474376944378,0.04336176540972958,0.0738179891285768,0.04410105637414106,0.16016973778674234,0.0784631294656593,0.11133380055382722,0.017187446583022802,0.08765084954360534,0.017593415609722746,0.10992786571399268,0.0006239102936651739,0.2822026169909727,0.24128779728054267,0.08979127601364852,0.10397262098716097,0.17700039961882513,0.10574528910885002,0.27475717479749295,0.1345966352673826,0.19098339625407762,0.029483561191951033,0.15035736539236888,0.03017996554631089,0.1885716380163472
ImmuneCODE-Review-002/KH20-11656_TCRB.tsv,0,235216,181072,1.2990191746929398,67810,63436,18873,21899,39277,23921,39828,24038,34426,4114,25975,5659,46900,132,0.1628920362825736,0.1523848873856561,0.04533640172188485,0.05260540779460374,0.09435054577600123,0.05746262203090168,0.09567414866630794,0.05774367745407026,0.08269755553847337,0.009882581289876239,0.06239670612652779,0.01359395418556384,0.11266238757783073,0.0003170881697286494,0.2882882116862798,0.2696925379225903,0.08023688864703081,0.09310165975103735,0.16698268825249982,0.10169801374056187,0.2199567023062649,0.13275382168419192,0.1901232658831846,0.02272024388088716,0.1434512238225678,0.031252761332508615,0.2590129893081205
